ACCREDITATION STANDARDS,,,,,,,,,
Area,criteria, Indicators,Indicator No,Measurements,0 (0%),1 (25%),2 (50%),3 (75%),4 (100%)
"A. Land ownership, legal, School leadership and management documents",Planning,"Availability Of Strategic Plan With  Vision, Mission, Organisational Structure and Budget Proposal In Strategic Plan",Indic 1,Scale (0-4),The school has No Strategic Plan,The  Strategic plan is available with no vision and mission, The strategic plan includes clear vision and mission," The available strategic plan includes clear vision, mission and organizational structure","The school has strategic plan that includes clear vision, mission, organizational structure and budget proposal in strategic plan "
,,Availability of the school's  annual action plan,Indic 2,Scale (0-4),There is no  school's  annual action plan,_,The school has an action plan,_,The school has an  annual action plan  with resonable teaching and learning activities
,,Availability of  the school Annual budget  Plan   ,Indic 3,Scale (0-4),There is no   the school Annual budget  Plan   ,_,The school has anbudget  plan,_,The school has an Annual budget  Plan with focus on teaching and learning 
,Registration,"Availability Of official registration Documents (RGB or RDB, to be uploaded)",Indic 4,Scale (0-4),The school has no registration certificate in RGB or RDB,_,_,_,The school has  registration certificate in RGB/ RDB
,land ownership or rent contract,Availability the school owner's land title or rent contract  (to be uploaded),Indic 5,Scale (0-4),The school owner has no rent contract or land title ,The school is operating in the facililities  which are rented and the contract term is valid for   1 year or has a land title having 25% or less of required area,The school is operating in the facililities  which are rented and the contract term is  valid for 2 to 3  years or has a land title having 26 to 50% of required area,The school is operating in the facililities  which are rented and the contract term is  valid for 4  years or has a land title having 51 to 75% of required area,The school is operating in the facililities  which are rented and the contract term is  valid for 5  years or has a land title having 76 to 100 % of required area
school infrastructures,Classrooms,"Availability Of At Least One Classroom By Each Level (3 for preprimary, 3 for combinations, TVET trades L3-5  and OL, 6 for primary, 1 for L1 or L2 TVET trades",Indic 6,Scale (0-4),The school has no classrooms for the applied level/ trade/combinations,_,The school has 50% and above (not all) of  classrooms for the applied level/ trade/combinations,_, The school has all required  classrooms for the applied level/trade/combination
,,Each Classroom Has 2 Doors and Sufficient Windows ,Indic 7,Scale (0-4),No classroom Available for the applied level/ trade/combinations,Approximately 1-25% Classrooms have 2 doors and windows with an area ranging from 1-10% of floor area,Approximately 26-50% Classrooms have 2 doors and windows with an area ranging from 11-15% of floor area,Approximately 51-75% Classroom have 2 doors and windows with an area ranging from 16-20% of floor area,Approximately 76-100% Classrooms have 2 doors and windows with an area ranging from 21-25% of floor area
,,"Each Classroom has Maximum Capacity of  46 students (for special considerations, less capacity may be considered and a student take 1.2 to 2.5 sqm)",Indic 8,Scale (0-4),All available classrooms do not have a Maximum Capacity Of 46 students or a student can not take 1.2 to 2.5 sqm,Approximately 1-25% of classrooms have a Maximum Capacity Of 46 students or 1-25% of students can take 1.2 to 2.5 sqm,26-50% of classrooms have a Maximum Capacity Of 46 students or 26-50% of students can take 1.2 to 2.5 sqm,51-75% of classrooms have a Maximum Capacity Of 46 students or 51-75% of students can take 1.2 to 2.5 sqm,76-100% of classrooms have a Maximum Capacity Of 46 studentsor 76-100% of students can take 1.2 to 2.5 sqm
,,Availability Of Electricity In All Classrooms,Indic 9,Scale (0-4),No classroom has electricity,Approximately 1-25% of all classrooms have electricity,26-50% of all classrooms have electricity,51-75% of all classrooms have electricity,76-100% of all classrooms have electricity
,Smart classroon and Computer Laboratory,Availability Of At Least 1 Smart Classroom,Indic 10,Scale (0-4),The school has No smart classroom available,"The school has amart classroom with Approximately 1-25% of smart classroom requirements (at least 30 computers, projector, room to accommodate at least 30 students and internet)","The school has a smart classroom with  Approximately 26-50% of smart classroom requirements (at least 30 computers, projector, room to accommodate at least 30 students and internet)","The school has a smart classroom with  Approximately 51-75% of smart classroom requirements (at least 30 computers, projector, room to accommodate at least 30 students and internet)","The school has a smart classroom with  Approximately 76-100% of smart classroom requirements (at least 30 computers, projector, room to accommodate at least 30 students and internet)"
